Rank,Polish,English
1,nie,no
2,to,this
3,się,myself
4,w,In
5,na,on
6,i,and
7,z,with
8,co,What
9,jest,is
10,że,that
11,do,down
12,tak,Yes
13,jak,how
14,o,about
15,mnie,me
16,a,and
17,ale,but
18,mi,to me
19,za,behind
20,ja,I
21,ci,you
22,tu,here
23,ty,you
24,czy,if
25,tym,this
26,go,him
27,tego,this
28,tylko,just
29,jestem,I am
30,po,after
31,cię,you
32,ma,she
33,już,already
34,mam,I have
35,jesteś,you are
36,może,maybe
37,pan,Mr
38,dla,for
39,coś,something
40,dobrze,well
41,wiem,I know
42,jeśli,if
43,teraz,now
44,proszę,please
45,od,from
46,wszystko,all
47,tam,over there
48,więc,so
49,masz,you have
50,nic,Thread
51,on,he
52,być,to be
53,gdzie,where
54,będzie,will be
55,są,there are
56,ten,this
57,mogę,I can
58,ciebie,you
59,bardzo,very
60,sobie,herself
61,kiedy,when
62,ze,with
63,wiesz,you know
64,no,Well
65,jej,her
66,jeszcze,still
67,pani,you
68,był,was
69,mój,my
70,chcę,want
71,było,was
72,dlaczego,why
73,by,to
74,przez,by
75,nas,us
76,tutaj,here
77,chcesz,you want
78,jego,his
79,ją,I
80,ich,their
81,nigdy,never
82,żeby,in order to
83,też,also
84,kto,who
85,naprawdę,really
86,przepraszam,sorry
87,bo,because
88,mamy,we have
89,porządku,order
90,możesz,you can
91,dobra,Okay
92,mu,him
93,dziękuję,Thank you
94,ona,she
95,domu,home
96,panie,ladies
97,muszę,I have to
98,nawet,even
99,chyba,I guess
100,hej,Hi
101,właśnie,exactly
102,prawda,true
103,zrobić,to do
104,te,these
105,zawsze,always
106,będę,I'll be
107,moja,my
108,gdy,when
109,je,eat
110,trochę,a bit
111,nam,U.S
112,moje,my
113,cześć,Hi
114,bez,without
115,nim,nimble
116,była,was
117,tej,this
118,jesteśmy,we're
119,dalej,next
120,pana,Mr
121,dzięki,Thanks
122,wszyscy,all
123,musisz,you have to
124,twój,your
125,lat,years
126,tobą,you
127,więcej,more
128,ktoś,someone
129,czas,time
130,ta,this
131,który,which
132,chce,I want
133,powiedzieć,tell
134,chodź,come
135,dobry,good
136,mną,mine
137,niech,let
138,sam,alone
139,razem,together
140,chodzi,goes
141,czego,what
142,boże,God
143,stało,constant
144,musimy,We need
145,raz,once
146,albo,or
147,prostu,simply
148,będziesz,you will be
149,dzień,day
150,możemy,we can
151,was,mustache
152,myślę,I think
153,czym,what
154,daj,give
155,lepiej,better
156,czemu,why
157,ludzie,people
158,ok,okay
159,przed,before
160,życie,life
161,ludzi,people
162,robisz,you do
163,my,we
164,niż,than
165,tych,languish
166,kim,Who is
167,rzeczy,stuff
168,myślisz,you think
169,powiedz,Say
170,przy,by
171,twoja,your
172,oni,they
173,oczywiście,of course
174,nikt,nobody
175,siebie,myself
176,stąd,hence
177,niego,him
178,twoje,your
179,miał,had
180,jeden,one
181,mówi,says
182,powiedział,he said
183,moim,my
184,czasu,time
185,u,at
186,dziś,today
187,im,them
188,które,which
189,musi,has to
190,wtedy,then
191,taki,such
192,aby,to
193,pod,under
194,dwa,two
195,temu,ago
196,pewnie,sure
197,takie,such
198,cóż,well
199,wszystkie,all
200,mojego,my
201,dużo,A lot
202,cholera,cholera
203,kurwa,whore
204,wie,know
205,znaczy,mean
206,wygląda,look
207,dzieje,scent
208,mieć,to have
209,ile,how much
210,iść,to go
211,potem,later
212,będziemy,we will
213,dzieci,children
214,dlatego,this is why
215,cały,whole
216,byłem,I was
217,moją,my
218,skąd,from where
219,szybko,quick
220,jako,as
221,kochanie,baby
222,stary,old
223,trzeba,it's necessary to
224,miejsce,place
225,myśli,thinks
226,można,you can
227,sie,myself
228,jasne,bright
229,mojej,my
230,wam,you
231,swoje,own
232,zaraz,in a minute
233,wiele,many
234,nią,on her
235,rozumiem,I understand
236,nich,them
237,wszystkich,all
238,jakieś,some
239,jakiś,some
240,kocham,I love
241,idź,go
242,tę,these
243,mają,have
244,mówię,I say
245,mówisz,you speak
246,dzisiaj,today
247,nad,above
248,pomóc,help
249,takiego,such
250,przestań,stop
251,tobie,you
252,jutro,tomorrow
253,robić,to do
254,jaki,what
255,mamo,mamom
256,kilka,a few
257,przykro,sorry
258,wiedzieć,know
259,ojciec,father
260,widzisz,you see
261,zbyt,too
262,zobaczyć,see
263,która,which
264,ani,or
265,tyle,so much
266,trzy,three
267,tą,this
268,sposób,way
269,miałem,I had
270,tato,dad
271,niej,it
272,później,later
273,pieniądze,money
274,robi,do
275,kogoś,someone
276,kiedyś,once
277,zanim,before
278,widzę,I see
279,pracy,work
280,świetnie,Great
281,pewno,surely
282,myślałem,I thought
283,będą,will
284,bardziej,more
285,życia,life
286,długo,long
287,och,oh
288,sir,sir
289,ponieważ,because
290,aż,until
291,dni,days
292,nocy,night
293,każdy,everyone
294,dnia,day
295,znowu,again
296,oh,oh
297,chciałem,I wanted
298,taka,such
299,swoją,in
